n,b,Constant
1,"(1,)",0.00000
2,"(1, 1)",0.00000
3,"(1, 2)",0.17611
4,"(1, 3)",0.21621
5,"(1, 1, 3)",0.24599
6,"(1, 2, 3)",0.28068
7,"(1, 2, 4)",0.31068
8,"(1, 2, 5)",0.32354
9,"(1, 3, 5)",0.33953
10,"(1, 1, 3, 5)",0.34821
11,"(1, 1, 3, 6)",0.35956
12,"(1, 2, 3, 6)",0.36955
13,"(1, 2, 4, 6)",0.37800
14,"(1, 2, 4, 7)",0.38613
15,"(1, 2, 4, 8)",0.39085
16,"(1, 2, 5, 8)",0.39618
17,"(1, 3, 5, 8)",0.40138
18,"(1, 3, 5, 9)",0.40550
19,"(1, 1, 3, 5, 9)",0.40887
20,"(1, 1, 3, 6, 9)",0.41252
21,"(1, 1, 3, 6, 10)",0.41605
22,"(1, 2, 3, 6, 10)",0.41946
23,"(1, 2, 4, 6, 10)",0.42223
24,"(1, 2, 4, 6, 11)",0.42517
25,"(1, 2, 4, 7, 11)",0.42797
26,"(1, 2, 4, 7, 12)",0.43021
27,"(1, 2, 4, 8, 12)",0.43205
28,"(1, 2, 5, 8, 12)",0.43392
29,"(1, 2, 5, 8, 13)",0.43590
30,"(1, 3, 5, 8, 13)",0.43780
31,"(1, 3, 5, 8, 14)",0.43935
32,"(1, 3, 5, 9, 14)",0.44097
33,"(1, 1, 3, 5, 9, 14)",0.44223
34,"(1, 1, 3, 5, 9, 15)",0.44363
35,"(1, 1, 3, 6, 9, 15)",0.44503
36,"(1, 1, 3, 6, 10, 15)",0.44632
37,"(1, 1, 3, 6, 10, 16)",0.44756
38,"(1, 2, 3, 6, 10, 16)",0.44885
39,"(1, 2, 4, 6, 10, 16)",0.44987
40,"(1, 2, 4, 6, 10, 17)",0.45099
41,"(1, 2, 4, 6, 11, 17)",0.45210
42,"(1, 2, 4, 7, 11, 17)",0.45313
43,"(1, 2, 4, 7, 11, 18)",0.45412
44,"(1, 2, 4, 7, 12, 18)",0.45498
45,"(1, 2, 4, 7, 12, 19)",0.45581
46,"(1, 2, 4, 8, 12, 19)",0.45657
47,"(1, 2, 5, 8, 12, 19)",0.45729
48,"(1, 2, 5, 8, 12, 20)",0.45805
49,"(1, 2, 5, 8, 13, 20)",0.45884
50,"(1, 3, 5, 8, 13, 20)",0.45956
51,"(1, 3, 5, 8, 13, 21)",0.46025
52,"(1, 3, 5, 8, 14, 21)",0.46088
53,"(1, 3, 5, 9, 14, 21)",0.46151
54,"(1, 3, 5, 9, 14, 22)",0.46214
55,"(1, 1, 3, 5, 9, 14, 22)",0.46265
56,"(1, 1, 3, 5, 9, 14, 23)",0.46320
57,"(1, 1, 3, 5, 9, 15, 23)",0.46378
58,"(1, 1, 3, 6, 9, 15, 23)",0.46433
59,"(1, 1, 3, 6, 9, 15, 24)",0.46484
60,"(1, 1, 3, 6, 10, 15, 24)",0.46537
61,"(1, 1, 3, 6, 10, 16, 24)",0.46586
62,"(1, 2, 3, 6, 10, 16, 24)",0.46636
63,"(1, 2, 3, 6, 10, 16, 25)",0.46686
64,"(1, 2, 4, 6, 10, 16, 25)",0.46727
65,"(1, 2, 4, 6, 10, 16, 26)",0.46770
66,"(1, 2, 4, 6, 10, 17, 26)",0.46816
67,"(1, 2, 4, 6, 11, 17, 26)",0.46860
68,"(1, 2, 4, 6, 11, 17, 27)",0.46900
69,"(1, 2, 4, 7, 11, 17, 27)",0.46943
70,"(1, 2, 4, 7, 11, 18, 27)",0.46983
71,"(1, 2, 4, 7, 11, 18, 28)",0.47020
72,"(1, 2, 4, 7, 12, 18, 28)",0.47056
73,"(1, 2, 4, 7, 12, 19, 28)",0.47089
74,"(1, 2, 4, 7, 12, 19, 29)",0.47124
75,"(1, 2, 4, 8, 12, 19, 29)",0.47156
76,"(1, 2, 4, 8, 12, 19, 30)",0.47187
77,"(1, 2, 5, 8, 12, 19, 30)",0.47218
78,"(1, 2, 5, 8, 12, 20, 30)",0.47250
79,"(1, 2, 5, 8, 13, 20, 30)",0.47281
80,"(1, 2, 5, 8, 13, 20, 31)",0.47312
81,"(1, 3, 5, 8, 13, 20, 31)",0.47342
82,"(1, 3, 5, 8, 13, 21, 31)",0.47370
83,"(1, 3, 5, 8, 13, 21, 32)",0.47399
84,"(1, 3, 5, 8, 14, 21, 32)",0.47425
85,"(1, 3, 5, 8, 14, 21, 33)",0.47450
86,"(1, 3, 5, 9, 14, 21, 33)",0.47477
87,"(1, 3, 5, 9, 14, 22, 33)",0.47504
88,"(1, 3, 5, 9, 14, 22, 34)",0.47528
89,"(1, 1, 3, 5, 9, 14, 22, 34)",0.47550
90,"(1, 1, 3, 5, 9, 14, 23, 34)",0.47573
91,"(1, 1, 3, 5, 9, 15, 23, 34)",0.47597
92,"(1, 1, 3, 5, 9, 15, 23, 35)",0.47621
93,"(1, 1, 3, 6, 9, 15, 23, 35)",0.47644
94,"(1, 1, 3, 6, 9, 15, 23, 36)",0.47666
95,"(1, 1, 3, 6, 9, 15, 24, 36)",0.47687
96,"(1, 1, 3, 6, 10, 15, 24, 36)",0.47710
97,"(1, 1, 3, 6, 10, 15, 24, 37)",0.47730
98,"(1, 1, 3, 6, 10, 16, 24, 37)",0.47751
99,"(1, 2, 3, 6, 10, 16, 24, 37)",0.47772
100,"(1, 2, 3, 6, 10, 16, 25, 37)",0.47792
101,"(1, 2, 3, 6, 10, 16, 25, 38)",0.47813
102,"(1, 2, 4, 6, 10, 16, 25, 38)",0.47830
103,"(1, 2, 4, 6, 10, 16, 25, 39)",0.47848
104,"(1, 2, 4, 6, 10, 16, 26, 39)",0.47867
105,"(1, 2, 4, 6, 10, 17, 26, 39)",0.47886
106,"(1, 2, 4, 6, 11, 17, 26, 39)",0.47905
107,"(1, 2, 4, 6, 11, 17, 26, 40)",0.47923
108,"(1, 2, 4, 6, 11, 17, 27, 40)",0.47940
